Address,Latency
1.172.122.178-8333,271.6666666666667
100.0.15.8-8333,114.0
100.19.55.173-8333,103.8
100.6.81.194-8333,136.20754716981133
101.132.39.85-8333,469.58
101.173.40.161-8333,325.2835820895522
101.190.156.74-8333,533.375
101.200.40.4-8333,193.61428571428573
103.109.101.216-8333,221.2051282051282
103.112.29.124-8335,234.1864406779661
103.129.13.45-8333,433.9843137254902
103.137.94.237-8333,203.56435643564356
103.14.244.190-8333,164.38728323699422
103.14.71.74-8333,329.0740740740741
103.199.18.37-8333,2494.5714285714284
103.235.230.196-8333,236.98837209302326
103.239.19.142-8333,246.9318181818182
103.243.173.210-8333,163.125
103.29.69.57-8333,259.56342182890853
103.37.205.47-8333,299.3008595988539
103.57.201.91-8333,279.4246575342466
103.71.252.18-8333,206.832
103.9.174.70-8333,263.1111111111111
103.99.168.140-8333,192.44699140401147
103.99.170.220-8333,202.59121621621622
104.152.190.170-8333,122.23076923076923
104.163.204.204-8333,119.5068493150685
104.191.251.81-8333,136.61111111111111
104.194.9.86-8333,155.41595441595442
104.238.176.16-8333,5.4363636363636365
104.238.220.17-8333,150.38327526132403
104.248.16.27-8333,5.02020202020202
104.248.2.226-8333,81.34426229508196
104.248.203.202-8333,15.11864406779661
104.248.21.247-8333,5.033755274261603
104.248.245.250-8333,5.225
104.248.246.94-8333,5.140350877192983
104.254.110.227-8333,119.19444444444444
104.54.203.174-8333,136.7391304347826
105.233.37.163-8333,164.1851851851852
106.52.89.135-8333,206.9225806451613
106.72.39.130-9600,270.925
107.145.140.50-8333,130.76923076923077
107.152.234.82-8333,145.33333333333334
107.171.134.223-8334,119.5
107.181.189.37-8333,382.85897435897436
107.181.58.56-8333,127.73684210526316
107.190.47.97-8833,123.07440476190476
107.195.166.98-8333,333.6588235294118
107.2.139.165-8333,142.21428571428572
107.3.152.25-8333,166.25925925925927
107.4.112.187-8333,117.3452380952381
108.16.38.168-8333,103.73913043478261
108.160.193.48-8333,252.5
108.167.11.88-8333,150.33333333333334
108.168.125.57-8333,130.67857142857142
108.212.145.77-8333,112.92307692307692
108.222.149.83-8333,290.4485714285714
108.228.225.64-8333,159.54761904761904
108.51.101.133-8333,803.56
109.103.55.145-8333,76.2
109.153.126.139-8333,36.666666666666664
109.173.41.95-8333,51.96774193548387
109.199.241.148-8333,36.6530612244898
109.206.168.240-8333,11.923529411764706
109.207.79.248-8333,75.52887537993921
109.212.152.184-8333,55.333333333333336
109.228.190.161-8333,28.8
109.236.81.126-8333,13.84
109.236.81.138-58333,15.366762177650429
109.236.82.118-8333,14.766666666666667
109.236.90.117-8333,15.971098265895954
109.237.24.144-8333,24.0
109.238.11.95-8333,20.34710743801653
109.247.81.189-8333,42.875
109.87.11.192-8333,47.21875
109.87.166.145-8333,244.65217391304347
109.9.175.65-8333,38.943661971830984
109.99.63.159-8333,40.06413994169096
110.173.58.162-8333,203.35365853658536
110.92.64.163-8333,204.76190476190476
111.108.18.89-8333,273.7551020408163
